UID          PID    PPID  C STIME TTY          TIME CMD
aadisha+    1484     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
aadisha+    1488     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-sharing
aadisha+    1493     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-smartcard
aadisha+    1496     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-sound
aadisha+    1497    1303  0 14:29 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
colord      1507       1  0 14:29 ?        00:00:00 /usr/libexec/colord
aadisha+    1512     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-usb-protection
aadisha+    1514     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-wacom
aadisha+    1519     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-wwan
aadisha+    1529     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-xsettings
aadisha+    1534     988  0 14:29 ?        00:00:15 /usr/bin/vmtoolsd -n vmusr --blockFd 3
aadisha+    1539    1303  0 14:29 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
aadisha+    1543    1351  0 14:29 ?        00:00:00 /usr/libexec/ibus-engine-simple
aadisha+    1564     988  0 14:29 ?        00:00:00 /usr/libexec/gsd-printer
aadisha+    1648     988  0 14:29 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
aadisha+    1650     988  0 14:29 ?        00:00:00 /usr/bin/seahorse --gapplication-service
aadisha+    1785    1303  0 14:30 ?        00:00:00 update-notifier
aadisha+    4008     988  0 14:57 ?        00:00:20 /usr/bin/nautilus --gapplication-service
root        4365       1  0 15:20 ?        00:00:01 /usr/libexec/fwupd/fwupd
root        5122       2  0 15:49 ?        00:00:04 [kworker/1:2-cgroup_destroy]
aadisha+    5193     988  0 15:57 ?        00:00:12 /usr/libexec/gnome-terminal-server
aadisha+    5225    5193  0 15:57 pts/0    00:00:00 bash
root        5231       2  0 15:57 ?        00:00:00 [kworker/u256:1-events_unbound]
root        5467       2  0 16:17 ?        00:00:00 [kworker/u256:0-events_power_efficient]
root        5596       2  0 16:23 ?        00:00:00 [kworker/u256:2-events_power_efficient]
root        5614       2  0 16:29 ?        00:00:00 [kworker/1:1-events]
root        5647       2  0 16:29 ?        00:00:00 [kworker/0:2-events]
root        5648       2  0 16:29 ?        00:00:00 [kworker/0:3-events]
root        6345       2  0 16:35 ?        00:00:00 [kworker/1:0-events]
aadisha+    6449    5225  0 16:36 pts/0    00:00:00 ps -ef
